Race,Year,Number,Median,Median_CPI,Mean,Mean_CPI
All Races,2024,85980,105800,105800,144500,144500
All Races,2023,84710,100800,103400,135700,139200
All Races,2022,84350,92750,98870,126500,134900
All Races,2021,84280,88590,101700,121800,139900
All Races,2020,83720,84350,101200,115300,138300
All Races,2019,83700,86010,104200,116700,141500
All Races,2018,83510,78650,96730,106000,130400
All Races,2017,83100,75940,95280,100400,126000
All Races,2016,82850,72710,92830,97360,124300
All Races,2015,82200,70700,91060,92670,119400
All Races,2014,81730,66630,85760,88770,114200
All Races,2013,81220,63820,83300,84690,110500
All Races,2012,80940,62240,82230,82840,109500
All Races,2011,80530,60970,82110,81010,109100
All Races,2010,79560,60240,83640,78180,108600
All Races,2009,78870,60090,84580,78540,110500
All Races,2008,78870,61520,86250,79630,111600
All Races,2007,77910,61360,89170,78850,114600
All Races,2006,78450,58410,87060,77320,115200
All Races,2005,77420,56190,86190,73300,112400
All Races,2004,76870,54060,85320,70390,111100
All Races,2003,76230,52680,85230,68560,110900
All Races,2002,75620,51680,85350,66970,110600
All Races,2001,74340,51410,85960,66860,111800
All Races,2000,73780,50730,86740,65770,112500
All Races,1999,73210,48830,86370,62570,110700
All Races,1998,71550,46740,84380,59590,107600
All Races,1997,70880,44570,81560,56900,104100
All Races,1996,70240,42300,79070,53680,100300
All Races,1995,69600,40610,77920,51350,98530
All Races,1994,69310,38780,76170,49340,96900
All Races,1993,68510,36960,74170,47220,94770
All Races,1992,68220,36570,75220,44220,90950
All Races,1991,67170,35940,75790,43240,91180
All Races,1990,66320,35350,77260,42650,93210
All Races,1989,66090,34210,78410,41510,95120
All Races,1988,65840,32190,77010,38610,92360
All Races,1987,65200,30970,76830,36880,91500
All Races,1986,64490,29460,75550,34920,89570
All Races,1985,63560,27740,72300,32940,85880
All Races,1984,62710,26430,71250,31050,83700
All Races,1983,62000,24580,69030,28640,80430
All Races,1982,61390,23430,68570,27390,80150
All Races,1981,61020,22390,69470,25840,80180
All Races,1980,60310,21020,71470,23970,81500
All Races,1979,59550,19590,73940,22320,84240
All Races,1978,57800,17640,72900,20090,83030
All Races,1977,57220,16010,70680,18260,80640
All Races,1976,56710,14960,70310,16870,79300
All Races,1975,56250,13720,68170,15550,77240
All Races,1974,55700,12900,69450,14710,79190
All Races,1973,55050,12050,71240,13620,80530
All Races,1972,54370,11120,69730,12630,79200
All Races,1971,53300,10290,66680,11580,75100
All Races,1970,52230,9867,66700,11110,75070
All Races,1969,51590,9433,66870,10580,74980
All Races,1968,50820,8632,63790,9670,71460
All Races,1967,50110,7933,60950,8801,67620
All Races,1966,49210,7532,59710,8395,66550
All Races,1965,48510,6957,56700,7704,62780
All Races,1964,47960,6569,54550,7336,60920
All Races,1963,47540,6249,52400,6998,58680
All Races,1962,47060,5956,50670,6670,56740
All Races,1961,46420,5735,49270,6471,55590
All Races,1960,45540,5620,48760,6227,54030
All Races,1959,45110,5417,47710,5976,52640
All Races,1958,44230,5087,45260,5565,49520
All Races,1957,43700,4966,45340,5443,49700
All Races,1956,43500,4780,45060,5341,50350
All Races,1955,42890,4418,42340,4962,47550
All Races,1954,41950,4167,39710,4684,44640
All Races,1953,41200,4242,40870,4706,45340
All Races,1952,40830,3890,37690,4457,43180
All Races,1951,40580,3709,36550,4194,41320
All Races,1950,39930,3319,35290,3815,40570
All Races,1949,39300,3107,33450,3569,38420
All Races,1948,38620,3187,33890,3671,39040
All Races,1947,37240,3031,35010,3546,40960
Asian Alone,2024,5851,150100,150100,196600,196600
Asian Alone,2023,5589,131800,135200,176500,181100
Asian Alone,2022,5508,126200,134600,169100,180200
Asian Alone,2021,5325,118400,135900,156900,180100
Asian Alone,2020,5179,109600,131500,145100,174100
Asian Alone,2019,5137,112200,136000,148600,180100
Asian Alone,2018,5099,101200,124500,134900,165900
Asian Alone,2017,4922,92780,116400,126300,158500
Asian Alone,2016,4725,93500,119400,120700,154200
Asian Alone,2015,4697,90850,117000,118200,152300
Asian Alone,2014,4499,82730,106500,108000,139000
Asian Alone,2013,4360,76400,99730,101800,132900
Asian Alone,2012,4122,77860,102900,102300,135100
Asian Alone,2011,4153,73000,98310,94850,127700
Asian Alone,2010,3879,75220,104400,94620,131400
Asian Alone,2009,3592,75030,105600,101100,142300
Asian Alone,2008,3494,73580,103200,94800,132900
Asian Alone,2007,3302,77130,112100,96310,140000
Asian Alone,2006,3346,74610,111200,97820,145800
Asian Alone,2005,3208,68960,105800,88370,135600
Asian Alone,2004,3142,65420,103300,85280,134600
Asian Alone,2003,3064,63250,102300,77510,125400
Asian Alone,2002,2845,60980,100700,78950,130400
Asian Alone or In Combination,2024,6279,147500,147500,195300,195300
Asian Alone or In Combination,2023,5961,131900,135300,177100,181700
Asian Alone or In Combination,2022,5800,126200,134600,168500,179700
Asian Alone or In Combination,2021,5655,118000,135500,156500,179700
Asian Alone or In Combination,2020,5509,110400,132500,147100,176400
Asian Alone or In Combination,2019,5429,112200,136000,147800,179100
Asian Alone or In Combination,2018,5354,101200,124500,134400,165200
Asian Alone or In Combination,2017,5170,92300,115800,125800,157900
Asian Alone or In Combination,2016,4923,92950,118700,120100,153300
Asian Alone or In Combination,2015,4879,90720,116900,118400,152400
Asian Alone or In Combination,2014,4687,83050,106900,108600,139800
Asian Alone or In Combination,2013,4568,76760,100200,102700,134100
Asian Alone or In Combination,2012,4324,77320,102200,102100,134900
Asian Alone or In Combination,2011,4347,72770,98000,94830,127700
Asian Alone or In Combination,2010,4094,74470,103400,93880,130400
Asian Alone or In Combination,2009,3742,74800,105300,100600,141500
Asian Alone or In Combination,2008,3644,73370,102900,95050,133200
Asian Alone or In Combination,2007,3454,76610,111300,95590,138900
Asian Alone or In Combination,2006,3489,74640,111300,97160,144800
Asian Alone or In Combination,2005,3358,69280,106300,88120,135200
Asian Alone or In Combination,2004,3283,65240,103000,85000,134100
Asian Alone or In Combination,2003,3194,62470,101100,76860,124300
Asian Alone or In Combination,2002,2939,61010,100800,78600,129800
Asian and Pacific Islander,2001,2980,60160,100600,79510,132900
Asian and Pacific Islander,2000,2982,62620,107100,79230,135500
Asian and Pacific Islander,1999,2801,56130,99280,73590,130200
Asian and Pacific Islander,1998,2459,52830,95370,67400,121700
Asian and Pacific Islander,1997,2381,51850,94890,65610,120100
Asian and Pacific Islander,1996,2247,49110,91790,62000,115900
Asian and Pacific Islander,1995,2125,46360,88940,60390,115900
Asian and Pacific Islander,1994,1589,46120,90580,57350,112600
Asian and Pacific Islander,1993,1737,44460,89220,55060,110500
Asian and Pacific Islander,1992,1760,42260,86900,51350,105600
Asian and Pacific Islander,1991,1624,40970,86410,49380,104100
Asian and Pacific Islander,1990,1536,42250,92330,49960,109200
Asian and Pacific Islander,1989,1531,40350,92470,49110,112500
Asian and Pacific Islander,1988,1481,36560,87460,44200,105700
Black,2001,8847,33600,56180,43940,73470
Black,2000,8731,33680,57580,43850,74980
Black,1999,8653,31850,56340,42860,75810
Black,1998,8452,29400,53090,38560,69620
Black,1997,8408,28600,52340,36500,66800
Black,1996,8455,26520,49580,34940,65300
Black,1995,8055,25970,49830,34010,65250
Black,1994,8093,24700,48510,32830,64470
Black,1993,7993,21540,43230,30040,60280
Black,1992,7982,21100,43400,27980,57540
Black,1991,7716,21550,45440,27570,58140
Black,1990,7471,21420,46820,27550,60220
Black,1989,7470,20210,46310,26420,60540
Black,1988,7409,19330,46240,25320,60560
Black,1987,7202,18410,45660,23770,58970
Black,1986,7096,17600,45150,22780,58420
Black,1985,6921,16790,43760,21360,55680
Black,1984,6778,15430,41590,19780,53310
Black,1983,6675,14510,40740,18320,51440
Black,1982,6530,13600,39790,17260,50500
Black,1981,6413,13270,41170,16700,51810
Black,1980,6317,12670,43090,15810,53730
Black,1979,6184,11570,43690,14510,54770
Black,1978,5906,10880,44960,13410,55420
Black,1977,5806,9563,42220,11960,52810
Black,1976,5804,9242,43440,11280,53010
Black,1975,5586,8779,43620,10400,51680
Black,1974,5491,8006,43090,9647,51930
Black,1973,5440,7269,42970,8807,52070
Black,1972,5265,6864,43060,8346,52360
Black,1971,5157,6440,41750,7695,49890
Black,1970,4928,6279,42440,7442,50310
Black,1969,4774,5999,42530,6971,49420
Black,1968,4646,5360,39610,6392,47240
Black,1967,4589,4875,37450,5916,45450
Black,1966,4954,4691,37190,5450,43200
Black,1965,4782,3993,32540,4827,39340
Black,1964,4754,3838,31870,4726,39250
Black,1963,4773,3465,29050,4260,35720
Black,1962,4561,3328,28310,3948,33590
Black,1961,4453,3191,27410,3937,33820
Black,1960,4333,3230,28030,3873,33600
Black,1959,4239,2915,25680,3463,30500
Black,1958,3996,2715,24160,3287,29250
Black,1957,4020,2763,25230,3204,29260
Black,1956,3999,2632,24810,3057,28820
Black,1955,3907,2544,24380,2879,27590
Black,1954,3766,2416,23020,2745,26160
Black,1953,,2466,23760,2872,27670
Black,1952,,2338,22650,2619,25380
Black,1951,,2032,20020,2353,23180
Black,1950,,1869,19880,2113,22470
Black,1949,,1650,17760,1954,21040
Black,1948,3279,1768,18800,2094,22270
Black,1947,3117,1614,18640,1986,22940
Black Alone,2024,10550,71870,71870,102400,102400
Black Alone,2023,10430,71390,73240,98470,101000
Black Alone,2022,10440,66760,71170,91680,97730
Black Alone,2021,10310,59540,68360,84080,96530
